,filename,language,num_lines,char_count,0,1,2,3
0,,,,,README.md,md,0.0,"Counter({'t': 2, '#': 1, ' ': 1, 'R': 1, 'u': 1, 's': 1, 'C': 1, 'h': 1, 'a': 1, '\n': 1})"
1,,,,,test.rs,rs,0.0,"Counter({' ': 10, 'e': 6, 't': 5, 'n': 4, 'p': 2, '(': 2, ')': 2, '\n': 2, 'r': 2, '!': 2, '""': 2, 'u': 1, 'b': 1, 'f': 1, 'h': 1, 'j': 1, '{': 1, 'i': 1, 'l': 1, 'D': 1, 's': 1, '}': 1})"
2,,,,,main.rs,rs,0.0,"Counter({' ': 57, 't': 53, ':': 28, 'a': 25, 'e': 22, 'p': 21, 'n': 21, 'r': 19, '\n': 18, 'h': 16, 's': 13, '(': 11, ')': 11, 'i': 8, 'g': 8, ';': 7, 'l': 6, ',': 6, '""': 6, 'o': 5, 'd': 5, '{': 5, 'f': 5, '}': 5, '.': 5, 'm': 4, '=': 4, 'v': 4, '\\': 4, 'u': 3, 'c': 3, 'C': 2, 'S': 2, 'P': 2, 'B': 2, 'x': 2, '_': 2, '&': 2, '1': 1, '2': 1, '!': 1, 'j': 1})"
3,,,,,README.md,md,0.0,"Counter({' ': 499, 'e': 495, 'o': 338, 's': 325, 't': 308, 'n': 278, 'i': 260, 'a': 233, 'r': 202, 'l': 195, 'd': 123, '/': 123, 'm': 118, 'h': 115, 'p': 110, '\n': 97, 'x': 92, '.': 86, 'b': 83, 'w': 78, 'u': 71, 'f': 65, 'c': 64, 'g': 62, '-': 60, 'v': 38, 'y': 35, 'E': 31, ':': 29, 'A': 28, ',': 28, '_': 25, '[': 24, ']': 24, '(': 24, ')': 24, 'z': 24, 'W': 23, 'T': 20, '#': 18, 'I': 17, 'S': 15, 'M': 14, 'k': 13, 'P': 13, 'U': 13, '`': 12, 'F': 10, 'N': 9, ""'"": 6, 'G': 6, 'C': 6, '""': 6, 'D': 6, 'B': 5, 'O': 4, 'L': 4, 'R': 4, '?': 3, '2': 3, 'H': 3, 'j': 3, '=': 2, '0': 2, '!': 1, '1': 1, '9': 1, 'K': 1, '4': 1, 'J': 1, 'q': 1})"
4,,,,,CODE_OF_CONDUCT.md,md,0.0,"Counter({'o': 47, ' ': 46, 'i': 44, 'e': 37, 't': 36, 'a': 27, 'r': 26, 'n': 24, 'p': 19, 'l': 18, 's': 16, '/': 15, 'u': 12, 'c': 12, 'm': 11, 'd': 11, 'w': 9, '\n': 8, 'g': 8, '.': 7, 'h': 6, 'y': 5, 'v': 4, 'z': 4, '#': 3, 'C': 3, 'P': 3, 'G': 3, 'b': 3, 'f': 3, 'M': 2, 'F': 2, ',': 2, '[': 2, ']': 2, '(': 2, ':': 2, ')': 2, 'H': 2, 'R': 2, 'T': 1, ""'"": 1, 'q': 1})"
5,,,,,CONTRIBUTING.md,md,0.0,"Counter({' ': 559, 'e': 492, 't': 337, 'o': 299, 's': 289, 'i': 272, 'n': 265, 'a': 262, 'l': 227, 'r': 161, 'p': 147, 'h': 130, 'm': 130, '/': 118, 'd': 117, 'c': 113, 'x': 95, 'u': 90, '\n': 74, '.': 73, 'g': 67, 'b': 63, 'f': 61, 'y': 53, '*': 39, ':': 38, 'E': 32, '-': 31, 'w': 29, ',': 27, 'v': 26, 'W': 23, 'A': 21, 'z': 20, 'S': 18, 'I': 18, '`': 18, 'k': 18, '(': 17, ')': 17, '#': 17, '[': 16, ']': 16, 'j': 12, 'U': 11, 'P': 11, ""'"": 10, 'T': 8, '_': 8, 'N': 7, 'M': 7, 'F': 5, '""': 4, 'q': 4, 'D': 4, 'C': 4, 'L': 4, 'O': 3, 'G': 2, 'H': 2, 'J': 2, '2': 2, 'K': 2, '!': 1, '0': 1})"
6,,,,,window.html,html,0.0,"Counter({' ': 174, 'e': 90, 'a': 71, 'i': 67, '""': 60, '<': 53, '>': 53, 'd': 52, 'r': 51, 't': 45, 'n': 45, 'o': 42, '\n': 40, 'w': 36, 's': 35, '-': 32, 'l': 31, '=': 30, 'c': 29, 'p': 25, 'h': 22, '/': 21, 'v': 15, 'f': 14, 'm': 12, 'b': 12, '#': 10, 'C': 6, 'u': 6, 'z': 6, '8': 4, 'y': 3, 'x': 3, '7': 3, '6': 3, 'R': 3, 'P': 2, '.': 2, '1': 2, '0': 2, '2': 2, '4': 2, 'g': 2, '!': 1, 'D': 1, 'O': 1, 'T': 1, 'Y': 1, 'E': 1, 'k': 1, 'W': 1, '_': 1, 'M': 1, 'j': 1})"
7,,,,,README.md,md,0.0,"Counter({' ': 36, 'i': 21, 'o': 21, 's': 20, 't': 16, 'e': 16, 'n': 15, 'a': 12, 'p': 11, '\n': 11, 'w': 10, 'r': 10, 'u': 9, 'h': 9, 'd': 7, 'm': 5, 'l': 5, '#': 4, 'c': 4, 'f': 4, '.': 4, 'W': 3, 'T': 2, '""': 2, 'v': 2, 'A': 2, 'P': 2, 'I': 2, 'x': 1, 'b': 1, 'g': 1, 'D': 1})"
8,,,,,window.js,js,0.0,"Counter({' ': 547, 'e': 234, 't': 154, 'n': 116, 'r': 116, 'a': 107, '\n': 105, 'i': 101, 'o': 91, 'd': 85, 'w': 79, '.': 66, 'c': 61, '(': 56, ')': 56, '=': 56, 'l': 49, 's': 48, '""': 42, 'g': 41, ';': 37, 'u': 36, 'p': 34, '{': 32, '}': 32, 'h': 29, 'f': 25, '-': 20, 'b': 17, 'W': 13, 'm': 11, ',': 11, '>': 11, 'D': 11, ':': 10, 'v': 9, 'I': 8, 'C': 6, 'T': 5, 'z': 4, '7': 3, '6': 3, '8': 3, 'y': 3, 'A': 3, '_': 2, '1': 2, '0': 2, '2': 2, '4': 2, 'P': 2, 'E': 1, 'L': 1, 'k': 1, '|': 1})"
9,,,,,window.css,css,0.0,"Counter({' ': 16, '\n': 12, 'i': 6, 'l': 5, 'p': 5, 'a': 5, 'n': 5, ':': 4, ';': 4, 'm': 3, 'd': 3, '{': 3, 'x': 3, '}': 3, 'h': 2, 't': 2, 'b': 2, 'o': 2, 'y': 2, '5': 2, '0': 2, 'r': 2, 'g': 2, 'e': 2, ',': 1, 'w': 1, '3': 1, '1': 1, 's': 1, '-': 1, 'c': 1, 'k': 1, '.': 1})"
